ISO,NODE_ID,LONG,LAT
ARG,6,-60.56597847,-36.68352662
ARG,10,-66.9524445,-27.33218321
ARG,22,-60.76674184,-26.38737495
ARG,26,-68.5232167,-43.78962611
ARG,2,-58.44443585,-34.61767799
ARG,14,-63.79954777,-32.1412181
ARG,18,-57.80585864,-28.77651979
ARG,30,-59.20754035,-32.04603236
ARG,34,-59.93434035,-24.89443471
ARG,38,-65.76219066,-23.31746423
ARG,42,-65.44833776,-37.13031093
ARG,46,-67.1782928,-29.67988556
ARG,50,-68.58667905,-34.62865146
ARG,54,-54.64727701,-26.87487596
ARG,58,-70.1179789,-38.6356254
ARG,62,-67.22900144,-40.40681066
ARG,66,-64.81994139,-24.29608962
ARG,70,-68.87496045,-30.86424011
ARG,74,-66.02992999,-33.76741265
ARG,78,-69.94144159,-48.81270671
ARG,82,-60.95070867,-30.70353814
ARG,86,-63.25847658,-27.78222843
ARG,94,-67.40135146,-54.33202133
ARG,90,-65.36569836,-26.94379196
