id,Province_C,Province_E,Population,Male,Female,size_kms,GDP,GDP_USD,avggdp,
1,安徽,Anhui,56493891,28462853,28031038,140140,1.02E+12,1.49E+11,2640,403.1246682
21,澳门,Macao,568606,273045,295561,33,1.6E+11,23400000000,41200,17230.48485
2,北京,Beijing,16389723,8173161,8216562,16406,1.15E+12,1.68E+11,10300,999.007863
4,福建,Fujian,33397663,16901083,16496580,123951,1.19E+12,1.74E+11,5210,269.4424652
5,甘肃,Gansu,24052594,12141360,11911234,425889,3.37E+11,49468914956,2060,56.47620389
6,广东,Guangdong,88979305,45465958,43513347,179656,3.78E+12,5.54E+11,6230,495.2759997
7,广西,Guangxi,43970320,22733969,21236351,237606,7.9E+11,1.16E+11,2640,185.0555962
8,贵州,Guizhou,33571308,17153547,16417761,176099,3.37E+11,49468914956,1470,190.6388338
9,海南,Hainan,8060519,4231490,3829029,35177,1.59E+11,23243255132,2880,229.1417403
10,河北,Hebei,68538709,34552649,33986060,188545,1.71E+12,2.5E+11,3650,363.5137978
12,河南,Henan,90028072,45262137,44765935,165664,1.71E+12,2.5E+11,2780,543.4377535
11,黑龙江,Heilongjiang,36884039,18603181,18280858,452538,8.26E+11,1.21E+11,3280,81.50484379
14,湖北,Hubei,52745625,26826301,25919324,185937,1.29E+12,1.89E+11,3580,283.6747124
15,湖南,Hunan,61911446,31611459,30299987,211836,1.29E+12,1.9E+11,3070,292.2612115
19,吉林,Jilin,26457769,13358390,13099379,191202,7.07E+11,1.04E+11,3930,138.3760055
17,江苏,Jiangsu,71685839,35542124,36143715,106600,3.35E+12,4.91E+11,6850,672.4750375
18,江西,Jiangxi,42181417,21600070,20581347,166936,1.59E+12,2.33E+11,5520,252.6801708
20,辽宁,Liaoning,41755874,20956756,20799118,148379,1.47E+12,2.15E+11,5150,281.4136367
16,内蒙古,Inner Mongolia,23071690,11725291,11346399,1145499,8.97E+11,1.31E+11,5680,20.14116992
22,宁夏,Ningxia,5970133,3015722,2954411,51893,1.2E+11,17568181818,2940,115.0469813
23,青海,Qinghai,5284525,2675766,2608759,696647,1.01E+11,14848826979,2810,7.585656724
24,山东,Shandong,89855501,45023357,44832144,157901,4.59E+12,6.72E+11,7480,569.0622669
27,山西,Shanxi,33484131,16988087,16496044,156698,6.95E+11,1.02E+11,3050,213.6857586
26,陕西,Shaanxi,34462115,17556257,16905858,205624,7.75E+11,1.14E+11,3310,167.5977269
25,上海,Shanghai,20593430,10318168,10275262,8359,1.43E+12,2.1E+11,10200,2463.623639
28,四川,Sichuan,76207174,38380622,37826552,486116,1.41E+12,2.06E+11,2700,156.767467
29,台湾,Taiwan,23162123,11455565,11706558,25110,2.94E+12,4.3E+11,18600,922.4262445
30,天津,Tianjin,10262186,5129604,5132582,11917,7.07E+11,1.04E+11,10100,861.1383738
31,西藏,Tibet,2837769,1429541,1408228,1202189,43434000000,6368621701,2240,2.360501552
13,香港,Hong Kong,7067800,3310500,3757300,1110,1.54E+12,2.26E+11,32000,6367.387387
32,新疆,Xinjiang,20802249,10620499,10181750,1631585,4.01E+11,58730351906,2820,12.74971822
33,云南,Yunnan,43626674,22391253,21235421,383186,6.18E+11,90590175953,2080,113.8524737
34,浙江,Zhejiang,49425543,25037320,24388223,105506,2.27E+12,3.33E+11,6740,468.4619169
3,重庆,Chongqing,26994017,13542424,13451593,82374,5.69E+11,83483577713,3090,327.7006944
